category,id,name,likes,talking_about_count,were_here_count,location-street,location-city,location-country,location-zip,location-lat-lng,link,phone,website,description,members,mission,general_info,products,hours,category_list,cover,emails,founded
Company,966506480045522,"Aastha traders",166,2,7,"dakshindhoka ",Bhaktapur,Nepal,44806,"27.6667,85.4167",https://www.facebook.com/nepalicarpets,+977-9807139357,http://www.nepalicarpet.com/,"""""","""""","To promote the nepali handicraft 
all over the world,
make the carpet generation in multinational sector","""""","""""","""""","Business Center","""""","""""","Mrinal Jha   Kailash Neupane , AaVA Group "
Shopping/retail,429911237161736,"Namaste Boutique",475,48,0,"Madhyapur Thimi",Bhaktapur,Nepal,44601,"27.6667,85.4167",https://www.facebook.com/pages/Namaste-Boutique/429911237161736,"""""","""""","""""","""""","""""","""""","""""",object,Shopping/Retail,object,"""""",""""""
"Bank/financial institution",921102767914154,"Danfe Saving & Credit Co-operative Ltd.",263,2,0,"Gaththaghar-15, Madhyapur Thimi ",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/pages/Danfe-Saving-Credit-Co-operative-Ltd/921102767914154,016638268,"""""","""""","""""","""""","""""","""""","""""","Bank/Financial Institution",object,"""""",""""""
Industrials,150357051747640,"Bhaktapur Handloom Cotton Textile",929,0,2,seepadole,Bhaktapur,Nepal,,"27.658746419443,85.426077002716",https://www.facebook.com/bhlct,"""""",https://www.facebook.com/bhlct,"""""","""""","To provide cotton wears forever","""""","""""","""""",Industrials,object,"""""",""""""
"Non-profit organization",1572393179716802,"BEING HELPERS",53,5,0,,Bhaktapur,Nepal,+97701,"27.6667,85.4167",https://www.facebook.com/pages/BEING-HELPERS/1572393179716802,+9779860726187,"""""","""""","""""","""""","""""","""""","""""","Non-Profit Organization",object,"""""",""""""
Health/medical/pharmaceuticals,595447940563057,"Kathmandu Cancer Care and Research Center",1984,0,14,"Mahamanjushree Nagarkot Municipality Ward No 2 (Formerly Tathali VDC)","Bhaktapur Nepal",19561,"27.665285261816,85.4736328125",https://www.facebook.com/KathCancerCare,+977-1-5091629,http://www.kccrc.org/,"Kathmandu Cancer Care and Research Center is a newly established state of the art modern cancer hospital in Kathmandu, Nepal.
With the latest Linear Accelerator and other state of the art modern technologies, we will be providing the best possible radiotherapy & oncology services for Cancer patients in Nepal.
The center is being built at Tathali, Bhaktapur in Kathmandu valley.","""""","Advanced Cancer Hospital in the Capital City of Nepal. Equipped with state of the art Radiation Setup.","""""","""""","""""",Hospital/Oncologist/Clinic,object,"""""",""""""
"Local business",367005003445472,"Studio8 Tattoo & Piercing",2918,3,32,,Bhaktapur,Nepal,00977,"27.666704708055,85.425911072971",https://www.facebook.com/studio8tattoos977,9849176027,"""""","""""","""""","""""","""""","""""","""""","Tattoo &amp; Piercing",object,"""""",""""""
Hotel,726547770798933,"Hotel Traditional",167,0,4,"Durbar Square Bhaktapur",Bhatgaon,Nepal,977,"27.6833,85.4167",https://www.facebook.com/hoteltraditional,977-016618697,http://www.hoteltraditional.com,"""""","""""","""""","""""","""""","""""",Hotel,object,"""""",""""""
Restaurant/cafe,310772052387697,"Bhaktapur Kitchen",801,1,146,"Pottery Square",Bhaktapur,Nepal,00977,"27.67024,85.41006",https://www.facebook.com/BhaktapurKitchen,977-01-6610533,http://namastebhaktapur.com/place/bhaktapurkitchen,"""""","""""","""""","""""","""""",object,"Nepalese Restaurant/Chinese Restaurant",object,"""""",""""""
Company,147228475478752,"Soltihood Nepal",1925,79,14,"Bhaktapur, Nepal",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/SoltihoodNepal,016916139,http://www.soltihoodnepal.com,"SOLTIHOOD NEPAL is a multipurpose company with a team of passionate individuals.We specialize in Running DJ courses,Event management, Model photo shoot.
We are based in Nepal, as Soltihood UK(http://www.soltihood.com) branch here in Nepal as Soltihood  Nepal (http://www.soltihoodnepal.com) and our motto is to satisfy our clients through our quality product whether it is product photo shoot, DJ courses, Documentary making and Event Management. We also get involved in some good social cause  in Nepal through our events and help them in every possible way we can.
","""""","""""","""""","""""","""""","Event Planner",object,"""""",""""""
"Local business",252822544801178,"Madhyapur Family Restaurant",159,2,1799,,Thimi,Nepal,,"27.682896857955,85.386624158649",https://www.facebook.com/pages/Madhyapur-Family-Restaurant/252822544801178,016630997,"""""","""""","""""","""""","""""","""""","""""",Restaurant,"""""","""""",""""""
Media/news/publishing,1591341474476693,"Nuwagi Masik Patrika",5085,12,0,Sallaghari-17,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/nuwagimonthly,016612640,http://www.nuwagi.com,"""""","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
Shopping/retail,625377324161435,"My Choice T-Shirt & Jersey Shop",349,0,5,Nepal,Bhaktapur,Nepal,977,"27.6667,85.4167",https://www.facebook.com/pages/My-Choice-T-Shirt-Jersey-Shop/625377324161435,"9841836123 ","""""","""""","""""","""""","""""","""""",object,"Shopping &amp; Retail",object,"""""",""""""
"Pet services",156670274351751,Aquarium5,1635,2,3,"Gatthaghar Near Nagrik Community Hospital",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/pages/Aquarium5/156670274351751,"6633740, 9808316412","""""","Aquariums of any size, various fancy fishes, fish food and all types of Aquarium accessories available. ","""""","""""","""""","""""",object,"Pet Store",object,"""""",""""""
School,863601150345838,"Saraswati English School",88,4,6,"Kamal Binayak",Bhaktapur,Nepal,977,"27.6667,85.4167",https://www.facebook.com/englishschoolsaraswati,9818551673,http://saraswatienglishschool.com,"We combine Montessori and Early Child Development to provide an education in English, from Nursery till Class V. Our curriculum focuses on English, Mathematics, Socials, Science and Nepali. But we also believe in the importance of enhancing creativity so we have different activities every afternoon such as Dance and Songs, Crafts, Painting, English Games or Sports to name a few�.","""""","""""","""""","""""",object,"Day Care &amp; Preschool/Elementary School/Preschool",object,"""""",""""""
Hotel,490027734466097,"Shakya sweets",377,19,7,kamalbinayak,Bhaktapur,Nepal,+9779841133807,"27.6667,85.4167",https://www.facebook.com/shakyasweets,016615730,http://shakyasweets.com.np,"""""","""""","""""","""""","""""","""""",Hotel,object,"""""",""""""
"Business services",544586952275122,"Traditional musical instrument shop & music institute",409,2,2,"Chyanhasing to dattatraya.",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/tmisami,+9779818824524,http://www.facebook.com/tmisami,"Traditional musical instrument shop & music institute is establish for the conserve Nepali music Because Nepal is one of the old country in the world that mean Nepali culture is also one of the first assets to the world so it is necessary to conserve and give continuity to long and toward, so this is small starting from small city.

 we have here lots of musical insrument that belongs from nepal, africa, india etc. like sarangi, madal, tunguna, jhyali, murchunga(mouth harp),basuri(bamboo flute) and more...

in the tradtional musical instrument shop and music institute you can buy all the traditional instrument specially which is made in nepal. in other you also can learn traditional musical instrument as well as guitar, drum, bass guitar, djemby and more,,,,........

COME LEARN AND LEARN

 ","""""","""""","""""","""""","""""","Music Store",object,"""""",""""""
Company,122098174638219,"Kayastha Export",781,2,5,"Ittachhen Tole-15, ",Bhaktapur,Nepal,01977,"27.6667,85.4167",https://www.facebook.com/pages/Kayastha-Export/122098174638219,9841472590,www.kayasthaknitwears.com,"Kayastha Export is an knitwear based handicraft organization established in 1992 to provide job opportunity to local women artisans of Bhaktapur. We manufacture and export knitwear products including fashion accessories products.

Because of our high quality product and regular new product development initiation, we have been able to establish our company as one of the reputed and credible organization in Nepal knitwear industry.

We believe in development through sustainable business generation, providing best quality products, efficient customer service and as per demand and requirement of the market. We are exporting to various parts of the world. To know more, contact us today.
","""""","to help local women & housewife","""""","""""","""""",Company,"""""","""""",""""""
Travel/leisure,623644641016581,"Ratna Giri Resort Pvt. Ltd.",597,2,705,"Sudal -8; kalamasi",Bhaktapur,Nepal,44600,"27.679438099188,85.444859987341",https://www.facebook.com/ratnagiriresort,"015145007,5145009",http://ratnagiriresort.com,"""""","""""","""""","""""","""""","""""","Professional Services",object,"""""",""""""
"Non-profit organization",101010866701578,"Federation of Community Forestry Users, Nepal (FECOFUN)",1900,32,8,,Bhaktapur,Nepal,0977,"27.70199352,85.41536879",https://www.facebook.com/fecofun,"977 01 6616408, 6616421",http://www.fecofun.org.np,"""""","""""","""""","""""","""""","""""","Non-Profit Organization",object,"""""",""""""
"Business services",307685562739880,"Beats Sound System",1773,3,1,"Mahakaalisthaan,Bhaktapur",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/pages/Beats-Sound-System/307685562739880,"9841369471 and 9841432349","""""","""""","""""","""""","""""","""""","""""","Music Production",object,"""""",""""""
"Home improvement",1596965430523313,"Laghu Kastha Furniture Udhog and Readymade Door Center",116,2,0,byasi-10,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/pages/Laghu-Kastha-Furniture-Udhog-and-Readymade-Door-Center/1596965430523313,016610107,"""""","""""","""""","""""","""""","""""","""""","Business Center",object,"""""",""""""
Company,274156152691030,"Maiden Events",571,12,0,Suryavinayak,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/pages/Maiden-Events/274156152691030,9803767113,"""""","""""","""""","""""","""""","""""","""""","Event Planner",object,"""""",2009
Hotel,551195951587956,"Hotel Mount Paradise",576,12,0,"Windy hill , ward no 7 ",Bhaktapur,Nepal,977,"27.6733733131,85.4347040872",https://www.facebook.com/HotelMountParadise,"977-9818681791 ","""""","""""","""""","""""","""""","""""",object,Hotel,object,"""""",""""""
"Local business",634025523276364,"Mah Own Beautiful World",71,45,4337,,Kathmandu,Nepal,,"27.680873325989,85.386084402351",https://www.facebook.com/pages/Mah-Own-Beautiful-World/634025523276364,"""""","""""","""""","""""","""""","""""","""""","""""","Hunting and Fishing","""""","""""",""""""
Tours/sightseeing,388049184628241,"Everest Base Camp",2326,308,2024,"Chhetrepati ",Kathmandu,Nepal,44600,"27.711262539145,85.308660885089",https://www.facebook.com/ebcwithit,+977-1-4253249,http://www.incredibletreks.com,"Everest base camp trek is regarded as one of the the most famous trekking destinations in the world that offers the breathtaking view of mighty Himalayas including the world’s tallest peak Mt. Everest. Everest region also known as Khumbu region is the second popular trekking destination in Nepal. The main attraction of this trekking is the world’s highest peak – Mt. Everest at 8,848m from sea level. Besides the khumbu region is also famous for Sherpa villages and monasteries. It is popular for mountain expedition too.  Additionally, it offers the great opportunities to get to the proximity of the local sherpa culture and tradition and experience it, sightseeing to Sagarmatha national park which shelters varieties of floras and faunas, visit to world's largest monastery named - Tangboche monastery and awe inspiring panoramic mountain views.","""""","""""","""""","""""","""""","Tours &amp; Sightseeing/Travel Agency",object,"""""",""""""
Restaurant/cafe,420602374768384,"Tamakhus Café",59,0,0,"Napukhu Ittachhein",Bhaktapur,Nepal,9818810808,"27.6667,85.4167",https://www.facebook.com/pages/Tamakhus-Caf%C3%A9/420602374768384,9818810808,"""""","""""","""""","""""","""""","""""","""""",Cafeteria,object,"""""",""""""
Restaurant/cafe,1477755169115382,"Bhajya Pukhu Coffee",1270,9,589,Dudhpati,Bhaktapur,Nepal,,"27.671389205479,85.42132949276",https://www.facebook.com/bhajyapukhucoffee,9779851199299,http://www.tripadvisor.com/Restaurant_Review-g424934-d7046561-Reviews-Bhajya_Pukhu_Coffee-Bhaktapur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,"""""","""""","""""","""""","""""",object,"Coffee Shop",object,"""""",""""""
Media/news/publishing,1586005524955796,"रेडियो घेताङ ""होईसेर""",635,16,0,,Bhaktapur,Nepal,,"27.67230182175,85.423468588393",https://www.facebook.com/radioghetanghoiser,"9841130434 , 9818250649",http://www.bhaktapurfm.com.np,"तामाङ भाषाको रेडियो घेताङ (कार्यक्रम)  ""होईसेर"" हरेक बिहिबार दिउसो १ बजे देखि २ बजे सम्म सञ्चार जगत्तको अभिन्न मित्र भक्तपुर FM १०५.४ Mhz मा आउने गर्दछ । यो प्रस्तुतिलाई www.bhaktapurfm.com.np  मा संसार भर सुन्न सक्नुहुन्छ ।


कार्यक्रम प्रस्तोताहरु 
सेनाम सिं तामाङ                           ९८६००१८९६६       
सुमन थिङ                                    ९८४११३०४३४
सिङ्ग बाहादुर मोक्तान                    ९८१८१५५००३


कार्यक्रम संयोजक : सोनाम सिं तामङ           
","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
Hotel,807550085992194,"Swastik Guest House",184,0,0,bekhal-4,Bhaktapur,Nepal,+977,"27.675513901882,85.433807129097",https://www.facebook.com/swastikguesthouse,9851000425,http://swastikguesthouse.com.np,"Swastik Guest House is a homely hotel, located in peace and quiet area in Bhaktapur, most popular tourist destination. This is the most loved hotel among tourists, due to its peaceful environment and best services it offers to. Moreover, it is situated in the strategic location and convenience to roam around the ancient and history laden shrines. 

Guest can enjoy breath taking view of Mountains and around Valley from our roof-top garden. Have a good time at Guest House Antic Lobby with free Wi-Fi access or a collection of books we have in store.","""""","""""","Swastik Guest House is a homely hotel, located in peace and quiet area in Bhaktapur, most popular tourist destination. This is the most loved hotel among tourists, due to its peaceful environment and best services it offers","""""","""""",Hotel,object,"""""",""""""
Engineering/construction,616609648432973,"HARSHA Construction",251,1,1,"Bhaktapur ",Bhaktapur,Nepal,,"27.6758738,85.4296988",https://www.facebook.com/HARSHAconstructions,9841110550,http://www.facebook.com/rabi.awal.79,"""""","""""","Big Bigger Biggest.","""""","""""","""""",Engineering/Construction,object,"""""","Rabi Awal"
Computers/technology,684658704933807,"Nanosoft Pvt. Ltd.",6393,0,0,,Bhaktapur,Nepal,0977,"27.6667,85.4167",https://www.facebook.com/OurNanosoft,9849761940,http://nanosoftpvtltd.com,"""""","""""","""""","""""","""""","""""",Computers/Technology,object,"""""","Shiva K. Shrestha, Sanjay, Sajan"
Sports/recreation/activities,413307002146508,"Desperado Gym And Fitness",375,14,7,Nepal,Bhaktapur,Nepal,"09 ","27.6667,85.4167",https://www.facebook.com/DesperadoGymAndFitness,"""""",http://www.facebook.com/DesperadoGymAndFitness,"Desperado Gym and Fitness
Bhaktapur, Nepal
Email:sam.suresh9@yahoo.com
         samduwal1@gmail.com
http://www.facebook.com/DesperadoGymAndFitness","""""","""""","""""","""""","""""","Gym/Fitness Center",object,"""""",""""""
"Non-profit organization",926254860724227,"Scouts Life Happy Life",1148,15,0,"Bhaktapur ",Bhaktapur,Nepal,24800,"27.6667,85.4167",https://www.facebook.com/scoutslifehappylife,"+977 9851057202","""""","I have had a most happy life and I want each one of you to have a happy life too. I believe that God put us in this jolly world to be happy and enjoy life. Happiness does not come from being rich, nor merely being successful in your career, nor by self-indulgence. One step towards happiness is to make yourself healthy and strong while you are a boy, so that you can be useful and so you can enjoy life when you are a man. Nature study will show you how full of beautiful and wonderful things God has made the world for you to enjoy. Be contented with what you have got and make the best of it. Look on the bright side of things instead of the gloomy one. But the real way to get happiness is by giving out happiness to other people. Try and leave this world a little better than you found it and when your turn comes to die, you can die happy in feeling that at any rate you have not wasted your time but have done your best. 'Be Prepared' in this way, to live happy and to die happy — stick to your Scout Promise always — even after you have ceased to be a boy — and God help you to do it.
Robert Stephenson Smyth Baden-Powell","""""","Creating Better World ","""""","""""","""""","Non-Profit Organization",object,"""""",""""""
"Community organization",377769235731111,"Rotaract Club of Bhaktapur",593,23,0,"Bhaktapur Durbar Square",Bhaktapur,Nepal,,"27.66711809336,85.416485423279",https://www.facebook.com/racbhaktapur,"""""",http://rotaractnepal.org/?page=club_details&club_id=17,"Chartered in June 2006 in the beautiful ancient city Bhaktapur known as 'The Tantric City'.
Rotaract Club Of Bhaktapur is a community based Rotaract Club sponsored by Rotary Club of Bhaktapur.At present we have 20 active members.
We meet twice in a month,on the 1st and 3rd Saturday of English month.
Most of the members are students and willing to do something for the social change.
","""""","""""","""""","""""","""""","Community Organization",object,"""""",""""""
"Non-profit organization",1625818967643482,"Visionary Youth Initiative Foundation Nepal -VYIFN",1341,26,2,,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/vyifn," 977 9841719804   (President: Mr. Aakash Jung karki),  9808606185     (Secretary: Mrs. Shusma Panta),  9843933054    (Vice-Secretary:Mr.Roshan Pyatha)",http://www.facebook.com/vyifn,"VYIFN is a non-government, non-profit making organisation registered under the Nepal organization act 2034 B.S. (1974) , with a motto "" Let""s unite together, together we can"". Its office is currently established in Bhaktapur, Nepal.","""""","VYIFN is a organization working with visions of changing socio-economic aspects in order to build new hope in youth. It also works for the upliftment of physically handicapped people in the society. It provides various tranings to the youth so that they can do something for the nation.","""""","""""","""""","Non-Profit Organization",object,"""""","aakash jung karki , roshan pyatha , manila karki ......."
"Non-profit organization",1568869403374052,"Madhyapur Youth Association",444,222,0,"Gatthaghar-15 ",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/myafootball,977-9851050304,http://www.mya.org.np,"""""","""""","""""","""""","""""","""""","Non-Profit Organization",object,"""""",""""""
"Local business",1487066178210718,"2nd hand bikes n bikes parts",547,1,0,bhaktapur,Bhatgaon,Nepal,+977,"27.6833,85.4167",https://www.facebook.com/bikesnparts,9849675381,"""""","""""","""""","""""","""""","""""","""""","Local Business",object,"""""",""""""
"Non-profit organization",516579731779445,"Leo Club of Bhaktapur Dibyaswori",517,6,0,Lokanthali,Bhaktapur,Nepal,0097,"27.6667,85.4167",https://www.facebook.com/LeoBhaktapurDibyaswori,9841080298,"""""","""""","""""","""""","""""","""""","""""","Non-Profit Organization",object,"""""",""""""
"Business services",818638181527644,"S.S motorcycle workshop and service center",247,1,0,kamalbinayak,Bhaktapur,Nepal,+977,"27.6667,85.4167",https://www.facebook.com/ssmotorcycle,9849675381,"""""","""""","""""","""""","""""","""""","""""","Business Services",object,"""""",""""""
Computers/technology,469458043206620,"Techno World Institute",95,1,0,"Golmadhi-7, Bhaktapur, Nepal",Bhaktapur,Nepal,01977,"27.6667,85.4167",https://www.facebook.com/Technoworldbkt,016620284,"""""","""""","""""","""""","""""","""""","""""",Computers/Technology,object,"""""",""""""
Engineering/construction,345510342313186,"Aganja And Sons construction pvt.ltd",97,1,0,jhaukhel,Bhaktapur,Nepal,Nepal,"27.6667,85.4167",https://www.facebook.com/pages/Aganja-And-Sons-construction-pvtltd/345510342313186,9851087604,"""""","""""","""""","""""","""""","""""","""""",Engineering/Construction,object,"""""",""""""
"Non-profit organization",255024164702343,"Shahid Radhe Shyam Jonchhe Smriti Pratisthan",323,1,0,Chundevisthan,Bhatgaon,Nepal,,"27.6833,85.4167",https://www.facebook.com/shahidjonchhe,015092075,"""""","""""","""""","""""","""""","""""","""""","Non-Profit Organization",object,"""""",""""""
"Bank/financial institution",407689792610065,"Upakar Savings & Credit Co-operative Society Ltd.",422,4,0,"Madhyapur Thimi-7, Bahakha Bazar",Bhaktapur,Nepal,Nepal,"27.6667,85.4167",https://www.facebook.com/UpakarSavings,977-1-6633643,http://www.upakarsaccos.coop.np,"""""","""""","To uplift members' socio-economic & cultural status through qualitative & competitive financial services.","""""","""""","""""","Bank/Financial Institution",object,"""""","krishna bahadur ghaju, birendra bhakta pradhananga, jagat krishna ghaju, puspa lal ghaju and other 22 members"
"Local business",229591457236342,"Dhamala lai hamala",328,6,1,bhaktapur,Bhaktapur,Nepal,977,"27.6667,85.4167",https://www.facebook.com/pages/Dhamala-lai-hamala/229591457236342,9843318227,"""""","""""","""""","""""","""""","""""","""""","Local Business","""""","""""",""""""
Shopping/retail,952135594797362,"Jasmine Fashion Collection",52,0,0,"Gatthaghar, Madhyapur Thimi.",Bhaktapur,Nepal,+0977,"27.6667,85.4167",https://www.facebook.com/pages/Jasmine-Fashion-Collection/952135594797362,9818997002,"""""","""""","""""","""""","""""","""""","""""",Shopping/Retail,"""""","""""",""""""
"Sports venue",507031142650962,"Balkot Unity Club - BUC",323,2,0,"Anantalingeshwor-3, Bhaktapur",Bhaktapur,Nepal,+977,"27.6667,85.4167",https://www.facebook.com/BalkotUnityClubBuc,"9841646257,9843357559","""""","Balkot Unity Club is non-profitable, sport club established with sole aim of  developing sports at local level with mutual efforts from interested persons, players and other organizations. The primary focus of club lies on providing environment for people to participate in sport activities and create platform for them to show their talent.","""""","""""","""""","""""","""""","Sports Venue",object,"""""",""""""
Community/government,783868238363514,"Gyams Khwopa Jyapu",50,0,0,"Bhaktapur nepal",Bhatgaon,Nepal,40800,"27.6833,85.4167",https://www.facebook.com/pages/Gyams-Khwopa-Jyapu/783868238363514,9851099269,http://www.eleganthandicrafts.com,"""""","""""","""""","""""","""""","""""",Community/Government,object,"""""",""""""
"Political organization",768627856513200,"मधेसी विद्यार्थी फोरम, नेपाल",156,0,0,"DUWAKOT BHAKTAPUR",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/msfnepal,"""""",http://msfnepal.blogspot.com,"Make your confessions here
https://docs.google.com/forms/d/1hvtuWSrLJUcwLJRY9o6t8MeAeNrYiNLYBnBNMrd0HyQ/viewform#start=openform","""""","we want to change our life ","""""","""""","""""","Political Organization",object,"""""",""""""
"Small business",817187798374652,"A&B paint service center",47,0,0,"Tuchimalla ",Bhaktapur,Nepal,+977,"27.6667,85.4167",https://www.facebook.com/pages/AB-paint-service-center/817187798374652,9808220124,"""""","""""","""""","""""","""""","""""","""""","Small Business",object,"""""",""""""
Education,805360876164154,"Navajyoti Madhyamik Vidyalaya",426,31,3,Gatthaghar,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/GlobalPathshala,"016635733 , 016635822",http://www.nmv.edu.np,"""""","""""","""""","""""","""""","""""",Education,object,"""""",""""""
Internet/software,575216629243069,nbinfotech,275,0,13,"Suryabinayak ",Bhaktapur,Nepal,977,"27.664136627238,85.423782401316",https://www.facebook.com/infotechnb,"+977 1 6617648",http://www.nbinfotech.com.np,"The company was founded by a team of enthusiastic IT specialists who not only wanted to overcome the routine but also create a company that would set in the market not only for business success but for the sake of technology itself. Apparently, the mission of the company was defined to contribute to forward looking transformation of the society through software development. Over the duration of the work, we are proud to announce that it has developed a wide range of solutions and gained ample experiences in the services we offer. Aiming to be one of the best software and business solution provider, we promise to offer a precise output. For companies operating in the information age we help to leverage new technologies to competitive advantage. We deliver high value innovated solutions by bridging gap between business & technology.
 
","""""","We are committed to offering unrivaled business automation and turnkey solutions in addition to a unique technical support to our valuable clients. nbinfotech is powered by highly skilled professionals , consultants , engineers , developers and executives equipped with the latest managerial IT  tools and works round the clock to assure the timely delivery of your applications with the highest quality . ","""""","""""","""""","Professional Services",object,"""""","Suwal Bikram
Thapa Bishal
Prajapati Vikram
Suwal Newton"
Hotel,230739123706289,"Kumari Guest House",614,20,14,"Durbar Square",Bhaktapur,Nepal,44800,"27.671530961322,85.428832210411",https://www.facebook.com/KumariGuestHouse,9841231371,"""""","""""","""""","""""","""""","""""","""""",Hotel,object,"""""",""""""
Computers/technology,497404436980648,"Phunka Technologies",532,4,2,,Kathmandu,Nepal,44600,"27.6717568,85.4019824",https://www.facebook.com/phunkaTech,9779840063224,http://phunka.com,"""""","""""","""""","""""","""""","""""","Web Development",object,"""""","Sujit Maharjan, Santosh Ghimire, Sudip Kafle, Sijan Bhandari, Roshan Bhandari, Subit Raj Pokharel"
"Business services",296784037088291,"Nepal Mobile Business",750,0,2,bhaktapur,Bhaktapur,Nepal,00977,"27.666852034134,85.43330823822",https://www.facebook.com/rockys09,009779843228948,www.nepmob.com,"""""","""""","""""","""""","""""","""""","Arts &amp; Marketing/Business Services",object,"""""",""""""
Hotel,324831570977374,"Hotel Greenland",373,5,0,"sallaghari-17 ",Bhaktapur,Nepal,+977,"27.666395931097,85.433823222351",https://www.facebook.com/hotelgreenlandbhaktapur,016618115,http://www.greenlandbhaktapur.com,"""""","""""","""""","""""","""""",object,"Food &amp; Restaurant/Hotel",object,"""""",""""""
"Local business",921172437917345,"Madhyapur Mobile",118,0,0,"Sankhadhar chowk, Madhyapur Thimi- 13",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/madhyapurmobile,9851120834,"""""","""""","""""","""""","""""","""""","""""","Mobile Phone Shop",object,"""""",""""""
Media/news/publishing,1577697849116428,Khopongkhabar.com,661,82,0,,Bhaktapur,Nepal,,"27.666704708055,85.425911072971",https://www.facebook.com/khopongkhabar.com.np,"""""",http://www.facebook.com/khopongkhabar.com.np,"""""","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
Shopping/retail,723496387768252,"C.M Photocopy",68,4,0,"bhaktapur ",Bhaktapur,Nepal,977,"27.6667,85.4167",https://www.facebook.com/pages/CM-Photocopy/723496387768252,9841759476,"""""","""""","""""","""""","""""","""""",object,"Printing Service/Graphic Design",object,"""""",""""""
Media/news/publishing,493596920773944,"Tamang Media Group,Bhaktapur-तामाङ सञ्चार समुह,भक्तपुर",563,3,5,Suryabinayak,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/tamangmediagroupbhaktapur,"""""",http://www.facebook.com/tamangmediagroup.bhaktapur,"भक्तपुर जिल्लामा अवस्थित तामाङ पत्रकार तथा सञ्चारकर्मीहरूको साझा संगठन।","""""","""""","""""","""""","""""",Organization,object,"""""",""""""
Organization,778184712212062,"Tamrakar Corporate Group",258,6,3,,Bhaktapur,00977,"27.674225648,85.4251590093",https://www.facebook.com/tcg.nepal,0097716618985,http://www.tcg.com.np,"Tamrakar Corporate Group a Trading house which has been successfully running its utensil business since 2000 in Nepal. TCG is ran by trained team of youth under the chairmanship of Mr. Dinesh Tamrakar having ideas in various field of business. TCG has now identified various sectors for investing and they are investing in future. ","""""","""""","""""","""""",object,"Business Services",object,"""""","Sadin Tamrakar"
Education,1492720931017455,"BBA Second Batch , Sainik College - Bkt",426,251,0,"Sallaghari, Bhaktapur ",,"27.6667,85.4167",https://www.facebook.com/pages/BBA-Second-Batch-Sainik-College-Bkt/1492720931017455,+977-1-6618830,http://www.bsamv.edu.np,"""""","""""","""""","""""","""""",object,Education,object,"""""",""""""
"Book store",222900644404486,"SBS Books and stationery",1244,8,0,"Itachhen-15 . Surayamdhi-1",Bhaktapur,Nepal,977,"27.6667,85.4167",https://www.facebook.com/pages/SBS-Books-and-stationery/222900644404486,+977016611818,"""""","""""","""""","""""","""""","""""",object,"Book Store",object,"""""",""""""
Education,123272344535702,"Department of Biochemistry, Kathmandu Medical College",570,9,9,"Duwakot, Bhaktapur, Nepal",Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/kmcbiochem,"""""",http://www.kmc.edu.np/,"""""","""""","""""","""""","""""","""""",Education,object,"""""",""""""
Arts/entertainment/nightlife,1463516757229618,"Nepali ko Muskaan",334,0,1,Nepal,Bhaktapur,Nepal,,"27.6667,85.4167",https://www.facebook.com/pages/Nepali-ko-Muskaan/1463516757229618,"""""","""""","""""","""""","""""","""""","""""","""""","Arts &amp; Entertainment",object,"""""",""""""
Health/medical/pharmacy,590291564378717,"RIGHT Medicine Pharmacy Nepal",697,1,0,"New Thimi,Bhaktapur",Bhaktapur,Nepal,+977,"27.6667,85.4167",https://www.facebook.com/RIGHTMedicinePharmacyNepal,"9803324756,9843477637,9841152094",https://www.facebook.com/pages/RIGHT-Medicine-Pharmacy/590291564378717,"This is a pharmacy run by professional pharmacists. If u have any queries regarding any medicine,its dosage or its reaction,u can post it in our page or message us.We will try to solve it. Additionally,we have introduced a new concept of home delivery of medicine for chronic patients.24 hour service is available....For further details,call 9851144756,9843477637.....Location: New Thimi,Bhaktapur near Madhyapur Hospital.....","""""","""""","""""","""""","""""","Medical &amp; Health",object,"""""",""""""
Education,435031546574449,"Success Academy",695,17,6,Sallaghari,Bhaktapur,Nepal,,"27.667081298532,85.416178152057",https://www.facebook.com/SuccessAcademyBhaktapur,9841432525,"""""","Bridge Course and Nursing Preparation Class","""""","""""","""""","""""","""""",Education,object,"""""",""""""
